Image1.png: embedded expression :(1142,336)(tl)(1199,377)(br)
Image1.png: embedded expression :(101,489)(tl)(162,539)(br)
Image1.png: embedded expression :(512,548)(tl)(554,592)(br)
Image1.png: embedded expression :(846,546)(tl)(1125,594)(br)
Image1.png: displayed expression :(629,668)(tl)(966,725)(br)
Image1.png: embedded expression :(637,1017)(tl)(1034,1071)(br)
Image1.png: embedded expression :(1280,556)(tl)(1468,584)(br)
Image1.png: embedded expression :(564,1342)(tl)(873,1384)(br)
Image1.png: embedded expression :(961,1337)(tl)(1372,1381)(br)
Image2.png: embedded expression :(440,259)(tl)(595,313)(br)
Image3.png: embedded expression :(693,261)(tl)(769,305)(br)
Image3.png: embedded expression :(1110,573)(tl)(1199,625)(br)
Image3.png: displayed expression :(362,693)(tl)(1316,822)(br)
Image3.png: embedded expression :(209,858)(tl)(355,901)(br)
Image3.png: embedded expression :(916,863)(tl)(970,908)(br)
Image3.png: embedded expression :(1048,851)(tl)(1100,906)(br)
Image3.png: embedded expression :(244,1287)(tl)(300,1328)(br)
Image3.png: embedded expression :(1134,1277)(tl)(1218,1330)(br)
Image3.png: embedded expression :(474,1330)(tl)(662,1381)(br)
Image3.png: displayed expression :(403,1397)(tl)(1282,1539)(br)
Image3.png: embedded expression :(889,1584)(tl)(934,1625)(br)
Image3.png: embedded expression :(1054,1577)(tl)(1109,1630)(br)
Image3.png: embedded expression :(961,1634)(tl)(1158,1680)(br)
Image3.png: embedded expression :(546,1683)(tl)(597,1733)(br)
Image3.png: displayed expression :(158,1802)(tl)(645,1934)(br)
Image3.png: displayed expression :(704,1800)(tl)(1206,1939)(br)
Image3.png: displayed expression :(1229,1792)(tl)(1551,1934)(br)
Image3.png: embedded expression :(585,2281)(tl)(774,2325)(br)
Image4.png: displayed expression :(238,155)(tl)(1422,263)(br)
Image4.png: displayed expression :(238,317)(tl)(1394,415)(br)
Image4.png: displayed expression :(257,491)(tl)(439,548)(br)
Image4.png: embedded expression :(678,572)(tl)(860,653)(br)
